repo,committer,upload_date,commit_date,issue_id,commit_msg
cpython,terryjreedy,2016-09-29,2016-09-30,28315,Change '?' to '<module>' in some doc examples. Patch by Mariatta Wijaya.
cpython,berkerpeksag,2016-10-03,2016-10-04,28348,Fix typo in asyncio.Task() documentation. Patch by Mariatta Wijaya.
cpython,gvanrossum,2016-10-06,2016-10-13,21443,Show how to change log level for asyncio.
cpython,gvanrossum,2016-10-04,2016-10-13,26869,Document unittest.TestCase.longMessage. (Mariatta)
cpython,gvanrossum,2016-10-06,2016-10-13,18789,Update XML vulnerability table to use Safe/Vulnerable instead of No/Yes.
cpython,berkerperksag,2016-10-16,2016-10-16,28455,Clarify example of overriding the convert_arg_line_to_args method. Patch by Mariatta Wijaya.
cpython,methane,2016-10-20,2016-10-21,18219,Optimize csv.DictWriter for large number of columns. Patch by Mariatta Wijaya.
cpython,gvanrossum,2016-10-24,2016-10-25,25002,Deprecate asyncore/asynchat. Patch by Mariatta.
cpython,ned-deily,2016-10-10,2016-10-31,28208,Update OS X installers to use SQLite 3.14.2. Patch by Mariatta Wijaya.
cpython,ned-deily,2016-10-10,2016-10-31,28248,Update macOS installer build to use OpenSSL 1.0.2j. Original patch by Mariatta Wijaya.
cpython,gvanrossum,2016-11-02,2016-11-03,26980,Improve docs for create_unix_connection(). By Mariatta.
cpython,methane,2016-10-01,2016-11-04,28088,Document Transport.set_protocol and get_protocol
peps,gvanrossum,2016-10-23,2016-10-23,121,Convert PEP 202 to reST
devguide,ncoghlan,2016-09-20,2016-09-20,37,Made "install dependencies" as Step number one
pythondotorg,berkerpeksag,2016-09-27,2016-09-27,1022,use bold font for h1, and regular for h2 element
pythondotorg,berkerpeksag,2016-09-27,2016-09-27,1020,Add styling to admonitions
pythondotorg,berkerpeksag,2016-09-22,2016-09-22,1015,Improve documentation for generating PEP pages
pythondotorg,berkerpeksag,2016-09-16,2016-09-16,1012,Remove lengthy text in job info box
pythondotorg,berkerpeksag,2016-09-11,2016-09-11,1005,Link the latest news in about page to blog.python.org
pythondotorg,berkerpeksag,2016-09-11,2016-09-11,1006,Redirect /blog/ to /blogs/
pythondotorg,berkerpeksag,2016-08-13,2016-08-13,990,add sqlparse<0.2
cpython,terryjreedy,2016-11-09,2016-11-11,28615,Backport imaginary/complex number text from 3.x. Patch by Mariatta Wijaya.
cpython,gpshead,2016-11-18,2016-11-20,20572,The subprocess.Popen.wait method's undocumented endtime parameter now raises a DeprecationWarning. It was deprecated in 3.4. It was never documented prior to that.
cpython,rhettinger,2016-11-02,2016-11-21,28587,list.index documentation missing start and stop arguments. (Contributed by Mariatta Wijaya.)
cpython,rhettinger,2016-10-05,2016-11-21,27825,Improve for statistics data arguments. (Contributed by Mariatta Wijaya.)
peps,berkerpeksag,2016-11-26,2016-11-28,143,Restify PEP 3145
peps,berkerpeksag,2016-11-26,2016-11-28,142,Restify PEP 303
peps,brettcannon,2016-11-27,2016-11-29,144,Restify PEP 206
peps,brettcannon,2016-12-03,2016-12-03,148,restify PEP 349
peps,Rosuav,2016-12-04,2016-12-04,150,Fix typos in PEP 524 and PEP 529
planet,Mariatta,2016-12-05,2016-12-05,182,Typo in readme.txt
cpython,1st1,2016-12-05,2016-12-12,28089,Document TCP_NODELAY in asyncio. Initial patch by Mariatta Wijaya.
planet,tseaver,2016-12-13,2016-12-13,184,Add feed for Janusworx
devguide,berkerpeksag,2016-12-13,2016-12-13,86,Advise using the latest stable version of Sphinx
pythondotorg,berkerpeksag,2016-12-15,2016-12-15,1040,Installation docs: Mention Elasticsearch
devguide,brettcannon,2017-01-02,2017-01-04,37,Remove FAQ
peps,brettcannon,2017-01-01,2017-01-01,169,Update outdated links in PEP 3107 with archived pages
peps,Rosuav,2017-01-01,2017-01-01,170,Fix broken url in PEP 3107
peps,brettcannon,2017-01-07,2017-01-07,174,reSTify 10 PEPs
peps,berkerpeksag,2017-01-07,2017-01-10,175,reSTify 10 more PEPs
peps,brettcannon,2017-01-10,2017-01-10,177,Another batch of 10 PEPs converted
